Template_ID;Template;Grade;Title;Source
24;<title> <name> überzeugte durch <poss_nom_w_pl_acc_w_pl> strukturierte Arbeitsweise, die <pers_pron_nom> mit <poss_gen_w_pl_dat_w> langjährigen Vertriebserfahrung für unser Unternehmen stets gewinnbringend einsetzte.;Good;yes;978-3-448-10119-5
25;<pers_pron_nom> ist sehr belastbar, behält auch in sehr schwierigen Situationen die Übersicht sowie einen kühlen Kopf und setzte sich auch über die Bürozeit hinaus für unser Unternehmen ein.;Good;no;978-3-448-10119-5
25;<title> <name> ist sehr belastbar, behält auch in sehr schwierigen Situationen die Übersicht sowie einen kühlen Kopf und setzte sich auch über die Bürozeit hinaus für unser Unternehmen ein.;Good;yes;978-3-448-10119-5
26;<pers_pron_nom> motivierte <poss_nom_m_n_acc_n> sechsköpfiges Team durch <poss_dat_pl_acc_m> straffen Führungsstil zu anhaltend guten Ergebnissen, wobei <pers_pron_nom> als <supervisor> jederzeit respektiert wurde.;Good;no;978-3-448-10119-5
26;<title> <name> motivierte <poss_nom_m_n_acc_n> sechsköpfiges Team durch <poss_dat_pl_acc_m> straffen Führungsstil zu anhaltend guten Ergebnissen, wobei <pers_pron_nom> als <supervisor> jederzeit respektiert wurde.;Good;yes;978-3-448-10119-5
27;<pers_pron_nom> ist <indef_art> <communicative>, <teamoriented> und <collaborative> <employee>, <def_art> über makellose Umgangsformen verfügt.;Good;no;978-3-448-10119-5
27;<title> <name> ist <indef_art> <communicative>, <teamoriented> und <collaborative> <employee>, <def_art> über makellose Umgangsformen verfügt.;Good;yes;978-3-448-10119-5
28;<poss_nom_m_n_acc_n> Verhalten gegenüber Vorgesetzten, Mitarbeitern und Kunden war stets einwandfrei.;Good;no;978-3-448-10119-5
28;<title_dat_acc> <name_s> Verhalten gegenüber Vorgesetzten, Mitarbeitern und Kunden war stets einwandfrei.;Good;yes;978-3-448-10119-5
29;Die <pers_pron_dat> übertragenen Aufgaben erledigte <pers_pron_nom> stets zu unserer vollen Zufriedenheit.;Good;no;978-3-448-10119-5
29;Die <pers_pron_dat> übertragenen Aufgaben erledigte <title> <name> stets zu unserer vollen Zufriedenheit.;Good;yes;978-3-448-10119-5
30;Jederzeit überzeugte <pers_pron_nom> uns durch <poss_nom_m_n_acc_n> ausgezeichnetes Fachwissen, auch in Nebenbereichen, welches <pers_pron_nom> sicher und gekonnt in der Praxis einsetzte.;Very Good;no;978-3-448-10119-5
30;Jederzeit überzeugte <title> <name> uns durch <poss_nom_m_n_acc_n> ausgezeichnetes Fachwissen, auch in Nebenbereichen, welches <pers_pron_nom> sicher und gekonnt in der Praxis einsetzte.;Very Good;yes;978-3-448-10119-5
31;In Kombination mit <poss_dat_m_n> guten Projektmanagement und <poss_dat_m_n> Organisationstalent gelang es <pers_pron_dat>, die Produktentwicklung stets im anvisierten Plansoll zu halten.;Very Good;no;978-3-448-10119-5
31;In Kombination mit <poss_dat_m_n> guten Projektmanagement und <poss_dat_m_n> Organisationstalent gelang es <title_dat_acc> <name>, die Produktentwicklung stets im anvisierten Plansoll zu halten.;Very Good;yes;978-3-448-10119-5
32;Mit großer Kreativität, präzisem Analysevermögen und strukturierter Vorgehensweise fand <pers_pron_nom> sehr gute und praktikable Lösungen, die <pers_pron_nom> erfolgreich in der Praxis einsetzte.;Very Good;no;978-3-448-10119-5
32;Mit großer Kreativität, präzisem Analysevermögen und strukturierter Vorgehensweise fand <title> <name> sehr gute und praktikable Lösungen, die <pers_pron_nom> erfolgreich in der Praxis einsetzte.;Very Good;yes;978-3-448-10119-5
33;Verhandlungen führte <pers_pron_nom> stets mit außerordentlichem Fingerspitzengefühl, rhetorischem Geschick und dem nötigen Durchsetzungsvermögen.;Very Good;no;978-3-448-10119-5
33;Verhandlungen führte <title> <name> stets mit außerordentlichem Fingerspitzengefühl, rhetorischem Geschick und dem nötigen Durchsetzungsvermögen.;Very Good;yes;978-3-448-10119-5
34;Auch unter höchster Belastung behielt <pers_pron_nom> die Übersicht und agierte zielorientiert, sorgfältig und verantwortungsbewusst zum Wohle des Unternehmens.;Very Good;no;978-3-448-10119-5
34;Auch unter höchster Belastung behielt <title> <name> die Übersicht und agierte zielorientiert, sorgfältig und verantwortungsbewusst zum Wohle des Unternehmens.;Very Good;yes;978-3-448-10119-5
35;Neben Selbstständigkeit kennzeichnen Flexibilität und viel Sinn für das Machbare <poss_dat_pl_acc_m> Arbeitsstil.;Very Good;no;978-3-448-10119-5
35;Neben Selbstständigkeit kennzeichnen Flexibilität und viel Sinn für das Machbare <title_dat_acc> <name_s> Arbeitsstil.;Very Good;yes;978-3-448-10119-5
36;<pers_pron_nom> ist <indef_art> jederzeit <polite>, <cooperative> und <teamoriented> <manager>, <def_art> <poss_nom_w_pl_acc_w_pl> Mitarbeiter durch <poss_nom_m_n_acc_n> Vorbild an Tatkraft und Dynamik zu sehr guten Leistungen motivierte.;Very Good;no;978-3-448-10119-5
36;<title> <name> ist <indef_art> jederzeit <polite>, <cooperative> und <teamoriented> <manager>, <def_art> <poss_nom_w_pl_acc_w_pl> Mitarbeiter durch <poss_nom_m_n_acc_n> Vorbild an Tatkraft und Dynamik zu sehr guten Leistungen motivierte.;Very Good;yes;978-3-448-10119-5
37;Innerhalb wie außerhalb unseres Hauses war <pers_pron_nom> <indef_art> allseits <popular> und häufig <frequent> <contact>.;Very Good;no;978-3-448-10119-5
37;Innerhalb wie außerhalb unseres Hauses war <title> <name> <indef_art> allseits <popular> und häufig <frequent> <contact>.;Very Good;yes;978-3-448-10119-5
38;Wir waren daher mit <poss_dat_pl_acc_m> Leistungen stets und in jeder Hinsicht außerordentlich zufrieden.;Very Good;no;978-3-448-10119-5
38;Wir waren daher mit <title_dat_acc> <name_s> Leistungen stets und in jeder Hinsicht außerordentlich zufrieden.;Very Good;yes;978-3-448-10119-5
39;<poss_nom_m_n_acc_n> Verhalten gegenüber den Gesellschaftern, den Kollegen in der Geschäftsleitung, <poss_dat_pl_acc_m> Mitarbeitern und jeglichen dritten Personen war immer vorbildlich.;Very Good;no;978-3-448-10119-5
39;<title_dat_acc> <name_s> Verhalten gegenüber den Gesellschaftern, den Kollegen in der Geschäftsleitung, <poss_dat_pl_acc_m> Mitarbeitern und jeglichen dritten Personen war immer vorbildlich.;Very Good;yes;978-3-448-10119-5
40;<pers_pron_nom> besitzt ein überzeugendes, sehr fundiertes Fachwissen, das <pers_pron_nom> stets sicher in der Praxis einsetzt.;Very Good;no;978-3-448-10119-5
40;<title> <name> besitzt ein überzeugendes, sehr fundiertes Fachwissen, das <pers_pron_nom> stets sicher in der Praxis einsetzt.;Very Good;yes;978-3-448-10119-5
41;<pers_pron_nom> versteht die betriebswirtschaftlichen Zusammenhänge unseres Unternehmens bis ins Detail, wodurch <pers_pron_nom> <poss_nom_w_pl_acc_w_pl> Position jederzeit vollumfänglich ausfüllt.;Very Good;no;978-3-448-10119-5
41;<title> <name> versteht die betriebswirtschaftlichen Zusammenhänge unseres Unternehmens bis ins Detail, wodurch <pers_pron_nom> <poss_nom_w_pl_acc_w_pl> Position jederzeit vollumfänglich ausfüllt.;Very Good;yes;978-3-448-10119-5
42;<pers_pron_nom> ist hoch motiviert, leistungsstark und zielorientiert.;Very Good;no;978-3-448-10119-5
42;<title> <name> ist hoch motiviert, leistungsstark und zielorientiert.;Very Good;yes;978-3-448-10119-5
43;Durch <poss_nom_m_n_acc_n> ausgeprägtes analytisches Denkvermögen und <poss_nom_w_pl_acc_w_pl> sehr schnelle Auffassungsgabe findet <pers_pron_nom> effektive Lösungen, die wir gewinnbringend einsetzen.;Very Good;no;978-3-448-10119-5
43;Durch <title_dat_acc> <name_s> ausgeprägtes analytisches Denkvermögen und <poss_nom_w_pl_acc_w_pl> sehr schnelle Auffassungsgabe findet <pers_pron_nom> effektive Lösungen, die wir gewinnbringend einsetzen.;Very Good;yes;978-3-448-10119-5
44;<pers_pron_nom> arbeitet sehr gewissenhaft und genau, wobei <pers_pron_nom> auch auf wichtige Details achtet.;Very Good;no;978-3-448-10119-5
44;<title> <name> arbeitet sehr gewissenhaft und genau, wobei <pers_pron_nom> auch auf wichtige Details achtet.;Very Good;yes;978-3-448-10119-5
45;So beweist <pers_pron_nom> jederzeit äußerste Zuverlässigkeit, Verantwortungsbewusstsein und außerordentliche Qualität in <poss_gen_w_pl_dat_w> Arbeit.;Very Good;no;978-3-448-10119-5
45;So beweist <title> <name> jederzeit äußerste Zuverlässigkeit, Verantwortungsbewusstsein und außerordentliche Qualität in <poss_gen_w_pl_dat_w> Arbeit.;Very Good;yes;978-3-448-10119-5
46;Auch unter stärkster Belastung behält <pers_pron_nom> die Übersicht, agiert ruhig und überlegt.;Very Good;no;978-3-448-10119-5
46;Auch unter stärkster Belastung behält <title> <name> die Übersicht, agiert ruhig und überlegt.;Very Good;yes;978-3-448-10119-5
47;<pers_pron_nom> motiviert und überzeugt <poss_nom_w_pl_acc_w_pl> vier Mitarbeiter durch <poss_dat_pl_acc_m> kooperativen Führungsstil.;Very Good;no;978-3-448-10119-5
47;<title> <name> motiviert und überzeugt <poss_nom_w_pl_acc_w_pl> vier Mitarbeiter durch <poss_dat_pl_acc_m> kooperativen Führungsstil.;Very Good;yes;978-3-448-10119-5
48;<pers_pron_nom> ist als <supervisor> voll anerkannt, wobei <poss_nom_m_n_acc_n> Team unsere hohen Erwartungen nicht nur erfüllt, sondern oftmals übertraf.;Very Good;no;978-3-448-10119-5
48;<title> <name> ist als <supervisor> voll anerkannt, wobei <poss_nom_m_n_acc_n> Team unsere hohen Erwartungen nicht nur erfüllt, sondern oftmals übertraf.;Very Good;yes;978-3-448-10119-5
49;<pers_pron_nom> wird wegen <poss_gen_w_pl_dat_w> Kompetenz, Offenheit und Freundlichkeit über alle Hierarchieebenen hinweg respektiert.;Very Good;no;978-3-448-10119-5
49;<title> <name> wird wegen <poss_gen_w_pl_dat_w> Kompetenz, Offenheit und Freundlichkeit über alle Hierarchieebenen hinweg respektiert.;Very Good;yes;978-3-448-10119-5
50;<pers_pron_nom> verfügt über hervorragende Fachkenntnisse, die <pers_pron_nom> sicher in der Praxis einsetzte und mit äußerst fundierten Managementfähigkeiten ideal kombiniert.;Very Good;no;978-3-448-10119-5
50;<title> <name> verfügt über hervorragende Fachkenntnisse, die <pers_pron_nom> sicher in der Praxis einsetzte und mit äußerst fundierten Managementfähigkeiten ideal kombiniert.;Very Good;yes;978-3-448-10119-5
51;Alle Aufgaben führte <pers_pron_nom> selbstständig, sorgfältig und planvoll durchdacht aus.;Very Good;no;978-3-448-10119-5
51;Alle Aufgaben führte <title> <name> selbstständig, sorgfältig und planvoll durchdacht aus.;Very Good;yes;978-3-448-10119-5
52;<poss_nom_w_pl_acc_w_pl> fünf Mitarbeiter führte <pers_pron_nom> durch <poss_nom_m_n_acc_n> Vorbild an Tatkraft und einen kollegialen Führungsstil zu gleichbleibend sehr guten Leistungen.;Very Good;no;978-3-448-10119-5
52;<title_dat_acc> <name_s> fünf Mitarbeiter führte <pers_pron_nom> durch <poss_nom_m_n_acc_n> Vorbild an Tatkraft und einen kollegialen Führungsstil zu gleichbleibend sehr guten Leistungen.;Very Good;yes;978-3-448-10119-5
53;Auch in Situationen mit extrem hohem Arbeitsanfall erwies <pers_pron_nom> sich als sehr belastbar und agierte ruhig, überlegt und zielorientiert.;Very Good;no;978-3-448-10119-5
53;Auch in Situationen mit extrem hohem Arbeitsanfall erwies sich <title> <name> als sehr belastbar und agierte ruhig, überlegt und zielorientiert.;Very Good;yes;978-3-448-10119-5
54;Schwierige Aufgaben ging <pers_pron_nom> mit Elan an und fand sinnvolle und praktikable Lösungen.;Very Good;no;978-3-448-10119-5
54;Schwierige Aufgaben ging <title> <name> mit Elan an und fand sinnvolle und praktikable Lösungen.;Very Good;yes;978-3-448-10119-5
55;Aufgrund <poss_gen_m_n> freundlichen und ausgeglichenen Wesens war <pers_pron_nom> innerhalb unseres gesamten Unternehmens gleichermaßen geschätzt und beliebt.;Very Good;no;978-3-448-10119-5
55;Aufgrund <poss_gen_m_n> freundlichen und ausgeglichenen Wesens war <title> <name> innerhalb unseres gesamten Unternehmens gleichermaßen geschätzt und beliebt.;Very Good;yes;978-3-448-10119-5
56;Mit unermüdlichem Einsatz, Kreativität und Innovationsgeist gab <pers_pron_nom> erfolgreich kontinuierliche Impulse zur wesentlichen Verbesserung unserer Prozesse und Arbeitsabläufe.;Very Good;no;978-3-448-10119-5
56;Mit unermüdlichem Einsatz, Kreativität und Innovationsgeist gab <title> <name> erfolgreich kontinuierliche Impulse zur wesentlichen Verbesserung unserer Prozesse und Arbeitsabläufe.;Very Good;yes;978-3-448-10119-5
57;Besonders hervorzuheben sind <poss_nom_m_n_acc_n> analytisches Denkvermögen, <poss_nom_w_pl_acc_w_pl> rasche Auffassungsgabe, <poss_nom_m_n_acc_n> Organisationstalent und <poss_nom_m_n_acc_n> ausgezeichnetes Engagement, mit dem <pers_pron_nom> auch etablierte Prozesse in Frage stellte und optimierte.;Very Good;no;978-3-448-10119-5
57;Besonders hervorzuheben sind <title_dat_acc> <name_s> analytisches Denkvermögen, <poss_nom_w_pl_acc_w_pl> rasche Auffassungsgabe, <poss_nom_m_n_acc_n> Organisationstalent und <poss_nom_m_n_acc_n> ausgezeichnetes Engagement, mit dem <pers_pron_nom> auch etablierte Prozesse in Frage stellte und optimierte.;Very Good;yes;978-3-448-10119-5
58;Dabei zeigte <pers_pron_nom> neben einem effektiven Motivationsverhalten auch das richtige Maß an Durchsetzungsvermögen.;Very Good;no;978-3-448-10119-5
58;Dabei zeigte <title> <name> neben einem effektiven Motivationsverhalten auch das richtige Maß an Durchsetzungsvermögen.;Very Good;yes;978-3-448-10119-5
59;In <poss_dat_m_n> Verantwortungsbereich wurde eine signifikante Steigerung der Mitarbeiter-Qualifikation nachgewiesen werden.;Very Good;no;978-3-448-10119-5
59;In <title_dat_acc> <name_s> Verantwortungsbereich wurde eine signifikante Steigerung der Mitarbeiter-Qualifikation nachgewiesen werden.;Very Good;yes;978-3-448-10119-5
60;Aufgrund <poss_gen_m_n> freundlichen, hilfsbereiten und ausgeglichenen Wesens war <pers_pron_nom> innerhalb unseres gesamten Unternehmens gleichermaßen geschätzt und beliebt.;Very Good;no;978-3-448-10119-5
60;Aufgrund <poss_gen_m_n> freundlichen, hilfsbereiten und ausgeglichenen Wesens war <title> <name> innerhalb unseres gesamten Unternehmens gleichermaßen geschätzt und beliebt.;Very Good;yes;978-3-448-10119-5
61;<pers_pron_nom> setzte sich auch jenseits der geregelten Arbeitszeit für uns ein und behielt selbst unter höchster Belastung einen klaren Kopf, um die richtigen Maßnahmen zu ergreifen.;Very Good;no;978-3-448-10119-5
61;<title> <name> setzte sich auch jenseits der geregelten Arbeitszeit für uns ein und behielt selbst unter höchster Belastung einen klaren Kopf, um die richtigen Maßnahmen zu ergreifen.;Very Good;yes;978-3-448-10119-5
62;Es gelang <pers_pron_dat> immer, komplizierte Sachverhalte einfach darzustellen, Zusammenhänge klar zu erläutern und <poss_nom_w_pl_acc_w_pl> Gesprächspartner von den notwendigen Aktionen zu überzeugen.;Very Good;no;978-3-448-10119-5
62;Es gelang <title_dat_acc> <name> immer, komplizierte Sachverhalte einfach darzustellen, Zusammenhänge klar zu erläutern und <poss_nom_w_pl_acc_w_pl> Gesprächspartner von den notwendigen Aktionen zu überzeugen.;Very Good;yes;978-3-448-10119-5
63;Präsentationen und Vorträge hielt <pers_pron_nom> mit didaktischem und rhetorischem Geschick.;Very Good;no;978-3-448-10119-5
63;Präsentationen und Vorträge hielt <title> <name> mit didaktischem und rhetorischem Geschick.;Very Good;yes;978-3-448-10119-5
64;Dabei zeigte <pers_pron_nom> bei Bedarf auch das richtige Maß an Durchsetzungsvermögen.;Very Good;no;978-3-448-10119-5
64;Dabei zeigte <title> <name> bei Bedarf auch das richtige Maß an Durchsetzungsvermögen.;Very Good;yes;978-3-448-10119-5
65;<poss_nom_w_pl_acc_w_pl> Kollegen und Mitarbeiter schätzten <poss_nom_w_pl_acc_w_pl> offene Art und teamorientierte Arbeitsausrichtung.;Very Good;no;978-3-448-10119-5
65;<poss_nom_w_pl_acc_w_pl> Kollegen und Mitarbeiter schätzten <title_dat_acc> <name_s> offene Art und teamorientierte Arbeitsausrichtung.;Very Good;yes;978-3-448-10119-5
66;Innerhalb wie außerhalb des Unternehmens war <pers_pron_nom> <indef_art> <popular> und häufig <frequent> <contact>.;Very Good;no;978-3-448-10119-5
66;Innerhalb wie außerhalb des Unternehmens war <title> <name> <indef_art> <popular> und häufig <frequent> <contact>.;Very Good;yes;978-3-448-10119-5
67;<pers_pron_nom> kennt sich in allen relevanten Gebieten des Grafikdesigns und der Multimediaumsetzung hervorragend aus und wendet <poss_nom_m_n_acc_n> Wissen stets sicher in der Praxis an.;Very Good;no;978-3-448-10119-5
67;<title> <name> kennt sich in allen relevanten Gebieten des Grafikdesigns und der Multimediaumsetzung hervorragend aus und wendet <poss_nom_m_n_acc_n> Wissen stets sicher in der Praxis an.;Very Good;yes;978-3-448-10119-5
68;<poss_nom_w_pl_acc_w_pl> Kreativität und <poss_nom_m_n_acc_n> analytisches Denken sind sehr ausgeprägt, so dass <pers_pron_nom> auch für schwierige Probleme sehr gute Lösungen fand, die bei unseren Klienten auf Begeisterung stießen.;Very Good;no;978-3-448-10119-5
68;<title_dat_acc> <name_s> Kreativität und <poss_nom_m_n_acc_n> analytisches Denken sind sehr ausgeprägt, so dass <pers_pron_nom> auch für schwierige Probleme sehr gute Lösungen fand, die bei unseren Klienten auf Begeisterung stießen.;Very Good;yes;978-3-448-10119-5
69;Zielsicher, dynamisch und unter Beachtung auch von Details führte <pers_pron_nom> alle Projekte zu einem erfolgreichen Abschluss.;Very Good;no;978-3-448-10119-5
69;Zielsicher, dynamisch und unter Beachtung auch von Details führte <title> <name> alle Projekte zu einem erfolgreichen Abschluss.;Very Good;yes;978-3-448-10119-5
70;Sorgfalt, Schnelligkeit und Verantwortungsbewusstsein prägten <poss_dat_pl_acc_m> Arbeitsstil.;Very Good;no;978-3-448-10119-5
70;Sorgfalt, Schnelligkeit und Verantwortungsbewusstsein prägten <title_dat_acc> <name_s> Arbeitsstil.;Very Good;yes;978-3-448-10119-5
71;<pers_pron_nom> übte und akzeptierte sachliche Kritik und integrierte sich reibungslos in unser Unternehmen.;Very Good;no;978-3-448-10119-5
71;<title> <name> übte und akzeptierte sachliche Kritik und integrierte sich reibungslos in unser Unternehmen.;Very Good;yes;978-3-448-10119-5
72;In Verbindung mit diesen Aufgaben hat <pers_pron_nom> <poss_nom_w_pl_acc_w_pl> guten Fachkenntnisse kontinuierlich erweitert, etwa bei der Softwareentwicklung in C/C++.;Good;no;978-3-448-10119-5
72;In Verbindung mit diesen Aufgaben hat <title> <name> <poss_nom_w_pl_acc_w_pl> guten Fachkenntnisse kontinuierlich erweitert, etwa bei der Softwareentwicklung in C/C++.;Good;yes;978-3-448-10119-5
73;<poss_nom_m_n_acc_n> Fachwissen setzte <pers_pron_nom> immer erfolgreich ein.;Good;no;978-3-448-10119-5
73;<title_dat_acc> <name_s> Fachwissen setzte <pers_pron_nom> immer erfolgreich ein.;Good;yes;978-3-448-10119-5
